,Date,Tamb,Wind speed,T1,T2,Calc. Irradiance,T_RISE
158,2023-06-10 11:35:50,34.8,1.29,66.17,65.34,896.2795,30.955
161,2023-06-10 11:36:25,34.8,1.17,66.14,65.39,896.7677,30.965000000000003
162,2023-06-10 11:36:30,34.8,1.06,66.26,65.29,896.2736,30.97500000000001
487,2023-06-10 12:20:55,35.9,0.99,71.35,69.46,1049.795,34.505
515,2023-06-10 12:28:15,36.2,1.26,69.58,68.98,983.094,33.08
526,2023-06-10 12:29:45,36.6,1.13,69.55,69.19,967.2855,32.77
529,2023-06-10 12:30:35,36.6,1.07,69.43,68.87,958.8918000000001,32.550000000000004
530,2023-06-10 12:30:45,36.8,1.23,69.5,69.1,958.3978,32.5
577,2023-06-10 12:39:35,36.0,1.44,69.5,68.66,991.9783,33.08
578,2023-06-10 12:39:40,36.0,1.25,69.84,68.87,992.9664,33.355000000000004
579,2023-06-10 12:39:45,36.4,1.04,69.46,68.93,993.4603,32.794999999999995
580,2023-06-10 12:39:50,36.4,1.33,69.9,69.41,995.9304,33.255
581,2023-06-10 12:39:55,36.4,0.45,69.97,69.47,996.9081,33.32
582,2023-06-10 12:40:00,36.4,1.1,70.32,69.52,997.8961,33.51999999999999
583,2023-06-10 12:40:05,36.4,1.69,70.25,69.65,997.8961,33.550000000000004
584,2023-06-10 12:40:35,36.4,1.57,69.65,68.66,998.8841,32.755
585,2023-06-10 12:40:40,36.4,1.2,69.45,68.87,998.3901,32.76
586,2023-06-10 12:40:45,36.6,1.49,69.58,68.69,996.9081,32.53499999999999
587,2023-06-10 12:40:50,36.6,1.24,69.2,68.32,994.438,32.15999999999999
588,2023-06-10 12:40:55,36.6,1.17,69.5,68.47,993.9441,32.385
589,2023-06-10 12:41:05,36.6,1.08,69.58,68.47,990.98,32.425000000000004
590,2023-06-10 12:41:10,36.6,0.97,69.5,69.02,988.5099,32.65999999999999
591,2023-06-10 12:41:20,36.6,1.75,69.98,69.39,989.004,33.085
592,2023-06-10 12:41:25,36.6,1.25,69.68,69.21,988.5099,32.84499999999999
593,2023-06-10 12:41:35,36.6,1.63,69.54,68.93,988.016,32.63500000000001
594,2023-06-10 12:41:40,36.6,1.08,69.59,69.19,987.028,32.79
595,2023-06-10 12:41:45,36.9,1.68,69.71,69.42,987.522,32.665
596,2023-06-10 12:41:55,36.9,1.02,69.17,68.71,987.0314,32.04
597,2023-06-10 12:42:00,36.9,1.22,69.21,69.0,987.0314,32.20499999999999
598,2023-06-10 12:42:05,36.9,1.35,69.47,69.19,988.0195,32.43
599,2023-06-10 12:42:10,36.9,1.72,69.68,69.55,984.0674,32.71500000000001
602,2023-06-10 12:42:30,36.9,0.83,69.71,69.21,984.0674,32.559999999999995
603,2023-06-10 12:42:40,36.9,1.2,69.67,68.94,987.0314,32.40500000000001
604,2023-06-10 12:42:45,37.2,0.81,69.83,69.2,989.9955,32.315
605,2023-06-10 12:42:50,37.2,1.31,70.15,69.32,986.0434,32.535
608,2023-06-10 12:43:10,37.2,1.51,69.65,69.31,981.5974,32.28
609,2023-06-10 12:43:15,37.2,1.62,69.52,69.21,999.8757,32.16499999999999
610,2023-06-10 12:43:20,37.2,1.72,69.68,69.45,999.8757,32.364999999999995
611,2023-06-10 12:43:40,37.2,1.72,69.24,68.81,994.9357,31.825000000000003
612,2023-06-10 12:43:45,37.3,1.17,69.43,68.89,990.4896,31.86
613,2023-06-10 12:43:55,37.3,1.75,69.32,69.15,986.0477,31.935000000000002
614,2023-06-10 12:44:00,37.3,1.41,69.69,69.19,985.0597,32.14
615,2023-06-10 12:44:05,37.3,1.17,69.52,69.18,986.0477,32.05
616,2023-06-10 12:44:10,37.3,1.71,69.58,69.13,989.0118,32.05499999999999
617,2023-06-10 12:44:20,37.3,0.71,69.95,69.68,987.5298,32.515
618,2023-06-10 12:44:25,37.3,1.65,70.01,69.82,986.0477,32.614999999999995
619,2023-06-10 12:44:50,37.1,1.51,69.69,69.2,988.5178,32.34499999999999
620,2023-06-10 12:44:55,37.1,1.71,69.65,69.2,989.5058,32.32500000000001
621,2023-06-10 12:45:00,37.1,1.5,69.47,69.02,990.9879,32.145
622,2023-06-10 12:45:05,37.1,1.69,69.66,69.04,990.4938,32.24999999999999
623,2023-06-10 12:45:10,37.1,1.45,69.4,69.04,989.9998,32.12
624,2023-06-10 12:45:20,37.1,1.16,69.17,69.36,988.0237,32.165
625,2023-06-10 12:45:25,37.1,1.74,69.39,69.48,987.0358,32.335
626,2023-06-10 12:45:30,37.1,1.47,69.39,69.34,987.5298,32.26500000000001
627,2023-06-10 12:45:35,37.1,1.17,69.4,68.87,988.5178,32.035000000000004
628,2023-06-10 12:45:40,37.1,1.27,69.9,69.02,989.5058,32.36000000000001
629,2023-06-10 12:45:45,37.1,0.81,70.03,69.53,985.0597,32.68
630,2023-06-10 12:45:50,37.1,0.96,69.81,69.77,976.1675,32.68999999999999
631,2023-06-10 12:45:55,37.1,1.05,69.86,69.65,983.0881,32.654999999999994
632,2023-06-10 12:46:30,37.1,1.24,69.55,68.79,986.5461,32.07
